ecdg_code,ecdg_subgroup,icd10
E0190 Nervous system and neurological disorders,E0193 Degenerative and demyelinating nervous system disorders subcategory,G35
E0190 Nervous system and neurological disorders,E0193 Degenerative and demyelinating nervous system disorders subcategory,G37.9
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G50.0
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G51.0
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G52.9
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G54.9
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G56.0
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G58.9
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G61.0
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G62.9
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G64
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G70.0
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G72.9
E0190 Nervous system and neurological disorders,E0192 Cranial and peripheral nerve disorders subcategory,G80.9
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G81.9
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G83.4
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G83.9
E0190 Nervous system and neurological disorders,E0193 Degenerative and demyelinating nervous system disorders subcategory,G91.9
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G93.2
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G93.9
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G95.9
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",G98
E0190 Nervous system and neurological disorders,"E0195 Nervous system disorders, other subcategory",I67.4
E0190 Nervous system and neurological disorders,E0196 Nervous system signs and symptoms subcategory,R20.8
E0190 Nervous system and neurological disorders,E0196 Nervous system signs and symptoms subcategory,R26.8
E0190 Nervous system and neurological disorders,E0196 Nervous system signs and symptoms subcategory,R29.89
E0190 Nervous system and neurological disorders,E0194 Stupor and coma subcategory,R40.0
E0190 Nervous system and neurological disorders,E0194 Stupor and coma subcategory,R40.2
E0190 Nervous system and neurological disorders,E0196 Nervous system signs and symptoms subcategory,R41.3
E0190 Nervous system and neurological disorders,E0196 Nervous system signs and symptoms subcategory,R47.0
E0190 Nervous system and neurological disorders,E0196 Nervous system signs and symptoms subcategory,R47.8
E0290 Eye disorders,E0291 Acute and major eye conditions subcategory,B00.5
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",B30.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H00.0
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H00.1
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H01.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H02.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H04.9
E0290 Eye disorders,E0291 Acute and major eye conditions subcategory,H05.0
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H05.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H10.1
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H10.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H11.0
E0290 Eye disorders,E0291 Acute and major eye conditions subcategory,H11.3
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H11.9
E0290 Eye disorders,E0291 Acute and major eye conditions subcategory,H16.0
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H16.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H18.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H20.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H21.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H26.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H27.9
E0290 Eye disorders,E0291 Acute and major eye conditions subcategory,H33.5
E0290 Eye disorders,E0291 Acute and major eye conditions subcategory,H35.6
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H35.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H40.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H43.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H44.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H46
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H47.7
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H53.1
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H53.2
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H53.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H54.0
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H54.4
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H54.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H57.1
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",H57.9
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",T15.0
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",T15.1
E0290 Eye disorders,"E0299 Eye disorders, other subcategory",T15.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H60.3
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H60.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H61.2
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H61.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H65.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H66.4
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H66.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H69.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H70.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H72.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H74.9
"E0310 Ear, nose, mouth and throat disorders",E0311 Disequilibrium subcategory,H81.0
"E0310 Ear, nose, mouth and throat disorders",E0311 Disequilibrium subcategory,H81.1
"E0310 Ear, nose, mouth and throat disorders",E0311 Disequilibrium subcategory,H81.2
"E0310 Ear, nose, mouth and throat disorders",E0311 Disequilibrium subcategory,H81.9
"E0310 Ear, nose, mouth and throat disorders",E0311 Disequilibrium subcategory,H83.0
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H83.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H91.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H92.0
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H92.1
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H93.1
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",H93.9
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",J35.1
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",K11.2
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",K11.5
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",K11.9
"E0310 Ear, nose, mouth and throat disorders",E0312 Epistaxis subcategory,R04.0
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",T16
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",T17.0
"E0310 Ear, nose, mouth and throat disorders","E0319 Ear, nose, mouth and throat disorders, other subcategory",T17.1
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,B00.2
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,B37.0
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K00.7
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K02.9
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K04.4
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K04.7
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K05.0
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K05.1
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K06.9
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K07.6
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K08.9
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K10.9
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K12.0
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K12.1
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K12.2
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K13.7
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,K14.9
E0320 Disorders of the teeth and supporting structures,E0329 Disorders of the teeth and supporting structures subcategory,S02.5
E0410 Major respiratory conditions,E0413 Pulmonary embolism subcategory,I26.9
E0410 Major respiratory conditions,"E0411 Respiratory arrest, distress and failure subcategory",J80
E0410 Major respiratory conditions,E0412 Pulmonary oedema subcategory,J81
E0410 Major respiratory conditions,"E0411 Respiratory arrest, distress and failure subcategory",J96.99
E0410 Major respiratory conditions,"E0411 Respiratory arrest, distress and failure subcategory",P28.40
E0410 Major respiratory conditions,"E0411 Respiratory arrest, distress and failure subcategory",R09.2
E0420 Chronic obstructive airways disease,E0421 Chronic obstructive airways disease subcategory,J42
E0420 Chronic obstructive airways disease,E0421 Chronic obstructive airways disease subcategory,J43.9
E0420 Chronic obstructive airways disease,E0421 Chronic obstructive airways disease subcategory,J44.0
E0420 Chronic obstructive airways disease,E0421 Chronic obstructive airways disease subcategory,J44.1
E0420 Chronic obstructive airways disease,E0421 Chronic obstructive airways disease subcategory,J44.9
E0430 Asthma,E0431 Asthma subcategory,J45.9
E0430 Asthma,E0431 Asthma subcategory,J46
E0430 Asthma,E0431 Asthma subcategory,R06.2
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,A37.9
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J00
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J01.9
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J02.9
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J03.9
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J04.0
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J04.1
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J05.0
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J05.1
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J06.9
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J09
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J10.1
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J11.1
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J30.4
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J32.9
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J34.8
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J35.0
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J36
E0440 Upper respiratory tract  infections,E0441 Upper respiratory tract infections subcategory,J39.9
E0450 Lower respiratory tract infections,E0451 Pneumonia subcategory,J12.9
E0450 Lower respiratory tract infections,E0451 Pneumonia subcategory,J15.9
E0450 Lower respiratory tract infections,E0451 Pneumonia subcategory,J18.0
E0450 Lower respiratory tract infections,E0451 Pneumonia subcategory,J18.1
E0450 Lower respiratory tract infections,E0451 Pneumonia subcategory,J18.9
E0450 Lower respiratory tract infections,E0452 Acute bronchitis and bronchiolitis subcategory,J20.9
E0450 Lower respiratory tract infections,E0452 Acute bronchitis and bronchiolitis subcategory,J21.9
E0450 Lower respiratory tract infections,"E0459 Lower respiratory tract infections, other subcategory",J22
E0450 Lower respiratory tract infections,"E0459 Lower respiratory tract infections, other subcategory",J40
E0450 Lower respiratory tract infections,"E0459 Lower respiratory tract infections, other subcategory",J47
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",A16.9
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",A48.1
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",E84
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",G47.30
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",J69.0
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",J70.9
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",J84.9
"E0490 Respiratory disorders, other",E0491 Pleural conditions subcategory,J90
"E0490 Respiratory disorders, other",E0491 Pleural conditions subcategory,J93.9
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",J95.0
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",J95.09
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",J98.4
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",J98.9
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R04.2
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R05
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R06.0
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R06.1
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R06.4
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R06.8
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R07.0
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R09.1
"E0490 Respiratory disorders, other",E0493 Respiratory signs and symptoms subcategory,R09.89
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",T17.2
"E0490 Respiratory disorders, other","E0492 Respiratory disorders, other subcategory",T17.9
E0510 Acute coronary syndromes,E0512 Unstable angina subcategory,I20.0
E0510 Acute coronary syndromes,E0513 Coronary atherosclerosis subcategory,I20.9
E0510 Acute coronary syndromes,E0511 Acute myocardial infarction subcategory,I21.3
E0510 Acute coronary syndromes,E0511 Acute myocardial infarction subcategory,I21.4
E0510 Acute coronary syndromes,E0511 Acute myocardial infarction subcategory,I21.9
E0510 Acute coronary syndromes,E0512 Unstable angina subcategory,I24.9
E0510 Acute coronary syndromes,E0513 Coronary atherosclerosis subcategory,I25.9
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I44.2
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I45.9
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I46.9
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I47.1
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I47.2
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I47.9
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I48.9
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I49.0
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I49.5
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,I49.9
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,R00.0
E0520 Arrhythmia and cardiac arrest,E0521 Arrhythmia and cardiac arrest subcategory,R00.1
E0530 Heart failure and shock,E0531 Heart failure and shock subcategory,I50.0
E0530 Heart failure and shock,E0531 Heart failure and shock subcategory,I50.1
E0530 Heart failure and shock,E0531 Heart failure and shock subcategory,I50.9
E0530 Heart failure and shock,E0531 Heart failure and shock subcategory,R57.1
E0540 Chest pain,E0541 Chest pain subcategory,R07.1
E0540 Chest pain,E0541 Chest pain subcategory,R07.4
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I09.9
"E0590 Circulatory disorders, other",E0594 Hypertension subcategory,I10
"E0590 Circulatory disorders, other",E0594 Hypertension subcategory,I13.9
"E0590 Circulatory disorders, other",E0594 Hypertension subcategory,I15.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I28.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I30.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I31.3
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I31.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I33.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I38
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I40.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I42.9
"E0590 Circulatory disorders, other","E0595 Heart disease, other subcategory",I51.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I71.1
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I71.2
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I71.3
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I71.4
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I71.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I72.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I73.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I74.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I77.9
"E0590 Circulatory disorders, other",E0591 Venous thrombosis subcategory,I80.0
"E0590 Circulatory disorders, other",E0591 Venous thrombosis subcategory,I80.2
"E0590 Circulatory disorders, other",E0591 Venous thrombosis subcategory,I80.20
"E0590 Circulatory disorders, other",E0591 Venous thrombosis subcategory,I80.9
"E0590 Circulatory disorders, other",E0591 Venous thrombosis subcategory,I82.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I83.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I87.9
"E0590 Circulatory disorders, other",E0593 Syncope and collapse subcategory,I95.1
"E0590 Circulatory disorders, other",E0593 Syncope and collapse subcategory,I95.10
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I95.9
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",I99
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",Q24.9
"E0590 Circulatory disorders, other",E0592 Palpitations subcategory,R00.2
"E0590 Circulatory disorders, other","E0599 Circulatory disorders, other subcategory",R02
"E0590 Circulatory disorders, other",E0593 Syncope and collapse subcategory,R55
E0610 Gastrointestinal haemorrhage,E0611 Gastrointestinal haemorrhage subcategory,K22.6
E0610 Gastrointestinal haemorrhage,E0611 Gastrointestinal haemorrhage subcategory,K92.0
E0610 Gastrointestinal haemorrhage,E0611 Gastrointestinal haemorrhage subcategory,K92.1
E0610 Gastrointestinal haemorrhage,E0611 Gastrointestinal haemorrhage subcategory,K92.2
E0620 Gastrointestinal obstruction,E0621 Gastrointestinal obstruction subcategory,K56.1
E0620 Gastrointestinal obstruction,E0621 Gastrointestinal obstruction subcategory,K56.2
E0620 Gastrointestinal obstruction,E0621 Gastrointestinal obstruction subcategory,K56.6
E0630 Peritonitis and gastrointestinal perforation,E0631 Peritonitis and gastrointestinal perforation subcategory,K27.4
E0630 Peritonitis and gastrointestinal perforation,E0631 Peritonitis and gastrointestinal perforation subcategory,K27.9
E0630 Peritonitis and gastrointestinal perforation,E0631 Peritonitis and gastrointestinal perforation subcategory,K35.8
E0630 Peritonitis and gastrointestinal perforation,E0631 Peritonitis and gastrointestinal perforation subcategory,K37
E0630 Peritonitis and gastrointestinal perforation,E0631 Peritonitis and gastrointestinal perforation subcategory,K57.80
E0630 Peritonitis and gastrointestinal perforation,E0631 Peritonitis and gastrointestinal perforation subcategory,K57.82
E0630 Peritonitis and gastrointestinal perforation,E0631 Peritonitis and gastrointestinal perforation subcategory,K65.9
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A00.9
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A03.9
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A04.5
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A05.9
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A07.1
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A07.2
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A08.1
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A08.4
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A08.5
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,A09.9
E0640 Oesophagitis and gastroenteritis,E0641 Oesophagitis and gastroenteritis subcategory,K20
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,I88.0
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K21.9
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K29.1
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K29.20
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K29.70
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K30
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K38.9
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K50.9
E0650 Abdominal pain,E0651 Abdominal pain with known underlying cause subcategory,K58.9
E0650 Abdominal pain,E0652 Abdominal pain underlying cause unknown subcategory,K59.0
E0650 Abdominal pain,E0652 Abdominal pain underlying cause unknown subcategory,R10.0
E0650 Abdominal pain,E0652 Abdominal pain underlying cause unknown subcategory,R10.1
E0650 Abdominal pain,E0652 Abdominal pain underlying cause unknown subcategory,R10.3
E0650 Abdominal pain,E0652 Abdominal pain underlying cause unknown subcategory,R10.4
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K22.2
