ecdg_code,ecdg_subgroup,intercept
E1990,"E1999 Mental, behavioural and neurodevelopment disorders, other",-0.122
E2010,E2011 Cranial injuries,0.016
E2010,E2012 Intracranial injuries,-0.124
E2010,E2013 Spinal injuries,0.019
E2010,E2014 Internal organ injuries,0.164
E2010,E2019 Other complex injuries,-0.254
E2020,E2021 Pelvic and femoral fractures,0.181
E2025,E2026 Fractures,0.047
E2025,E2027 Dislocations,-0.137
E2025,E2028 Sprains,-0.069
E2030,"E2031 Concussion, with loss of consciousness",-0.111
E2030,"E2032 Concussion, without loss of consciousness",-0.13
E2030,E2033 Open wounds,-0.192
E2030,"E2039 Injuries, other",-0.241
E2040,E2041 Open wounds,-0.157
E2040,"E2042 Fractures, dislocations and sprains",-0.042
E2040,E2049 Superficial injuries,-0.151
E2050,E2051 Severe burns,-0.423
E2050,"E2059 Burns, other",-0.372
E2060,E2061 Poisoning,-0.211
E2070,E2071 Anaphylactic shock,-0.102
E2070,"E2079 Allergic reactions, other",-0.325
E2080,E2081 Postoperative infections,-0.122
E2080,"E2089 Complications of surgical and medical care, other",-0.307
E5010,E5011 Pain syndrome,-0.171
E5090,E5091 Dizziness,-0.115
E5090,E5092 Fatigue and weakness,-0.177
E5090,E5093 Abnormal test result,-0.128
E5090,"E5099 Symptoms, other",-0.123
E6010,E6011 Forensic examination or observation,-0.287
E6020,E6021 Abuse and neglect,-0.151
E6090,E6099 Other factors influencing health status ,-0.447
